Course Title,Course Description,Course Curriculum,Course URL
Introduction to Python,"Power up your career with the best and most popular data science language, Python. Leverage your Python skills to start your Data Science journey. This course is intended for beginners with no coding or Data Science background.","Overview of the Course: Overview of the Course, AI&ML Blackbelt Plus Program (Sponsored); Introduction to Python: A brief introduction to Python, Introduction to Python Test, Installing Python, Become a BlackBelt in Data Science; Understanding Operators: Theory of Operators, Exercise, Understanding Operators in Python, Operators Test; Variables and Data Types: Understanding variables and data types, Variable Test, Variables and Data Types in Python, Exercise; Conditional Statements: Understanding Conditional Statements, Exercise, Implementing Conditional Statements in Python, Conditional Statements test; Looping Constructs: Understanding Looping Constructs, Exercise, Implementing Looping Constructs in Python, Looping Constructs test; Functions: Understanding Functions, Implementing Functions in Python, Functions test; Data Structure: A brief introduction to data structure, Data Structure test; Lists: Understanding the concept of Lists, Lists test, Implementing Lists in Python, Exercise; Dictionaries: Understanding the concept of Dictionaries, Exercise, Implementing Dictionaries in Python, Dictionaries test; Understanding Standard Libraries in Python: Understanding the concept of Standard Libraries, Libraries test; Reading a CSV File in Python: Reading a CSV File in Python - Introduction to Pandas, Reading a CSV file in Python: Implementation, Reading a csv file in Python test; Data Frames and basic operations with Data Frames: Understanding dataframes and basic operations, DataFrames and basic operations test, Reading dataframes and conduct basic operations in Python, Reading dataframes and conduct basic operations in Python Test; Indexing a Data Frame: Indexing a Dataframe, Indexing DataFrames test, Exercise; Data Manipulation and Visualization: Sorting Dataframes, Merging Dataframes, Quiz: Sorting and Merging dataframes, Apply function, Aggregating data, Quiz: Apply function and Aggregating data, Basics of Matplotlib, Data Visualization using Matplotlib, Quiz: Matplotlib, Basics of Seaborn, Data Visualization using Seaborn, Quiz: Seaborn; Regular Expressions: Understanding Regular Expressions, Quiz: Regular Expressions, Regular Expressions in  Python, Quiz: Regular Expressions in Python; Cheatsheet for Python: Cheatsheet for Python; Evaluate: Instructions, Quiz, Python Coding Challenge, Test your Skills: Python; Feedback: Poll; Where to go from here?: Where to go from here?",https://courses.analyticsvidhya.com/courses/introduction-to-data-science
Machine Learning Certification Course for Beginners,"In this free machine learning certification course, you will learn Python, the basics of machine learning, how to build machine learning models, and feature engineering techniques to improve the performance of your machine learning models.","Overview of the Course: AI&ML Blackbelt Plus Program (Sponsored); Introduction to Data Science and Machine Learning: Overview of Machine Learning / Data Science, Common Terminology used in Data Science, Applications of Data Science; Setting up your system: Installation steps for Windows, Installation steps for Linux, Installation steps for Mac; Introduction to Python: Introduction to Python, Introduction to Jupyter Notebook, Download Python Module Handouts; Variables and Data Types: Introduction to Variables, Implementing Variables in Python; Operators: Introduction to Operators, Implementing Operators in Python, Quiz: Operators; Conditional Statements: Introduction to Conditional Statements, Implementing Conditional Statements in Python, Quiz: Conditional Statements; Looping Constructs: Introduction to Looping Constructs, Implementing Loops in Python, Quiz: Loops in Python, Break, Continue and Pass Statements, Quiz: Break, Continue and Pass Statement; Data Structures: Introduction to Data Structures, List and Tuple, Implementing List in Pyhton, Quiz: Lists, List - Project in Python, Implementing Tuple in Python, Quiz: Tuple, Introduction to Sets, Implementing Sets in Python, Quiz: Sets, Introduction to Dictionary, Implementing Dictionary in Python, Quiz: Dictionary; String Manipulation: Introduction to String Manipulation, Quiz: String Manipulation; Functions: Introduction to Functions, Implementing Functions in Python, Quiz: Functions in Python, Lambda Expression, Quiz: Lambda Expressions, Recursion, Implementing Recursion in Python, Quiz: Recursion; Modules, Packages and Standard Libraries: Introduction to Modules, Modules: Intuition, Introduction to Packages, Standard Libraries in Python, User Defined Libraries in Python, Quiz:  Modules, Packages and Standard Libraries; Handling Text Files in Python: Handling Text Files in Python, Quiz: Handling Text Files; Introduction to Python Libraries for Data Science: Important Libraries for Data Science, Quiz: Important Libraries for Data Science; Python Libraries for Data Science: Basics of Numpy in Python, Basics of Scipy in Python, Quiz: Numpy and Scipy, Basics of Pandas in Python, Quiz: Pandas, Basics of Matplotlib in Python, Basics of Scikit-Learn in Python, Basics of Statsmodels in Python; Reading Data Files in Python: Reading Data in Python, Reading CSV files in Python, Reading Big CSV Files in Python, Quiz: Reading CSV files in Python, Reading Excel & Spreadsheet files in Python, Quiz: Reading Excel & Spreadsheet files in Python, Reading JSON files in Python, Quiz: Reading JSON files in Python; Preprocessing, Subsetting and Modifying Pandas Dataframes: Subsetting and Modifying Data in Python, Overview of Subsetting in Pandas I, Overview of Subsetting in Pandas II, Subsetting based on Position, Subsetting based on Label, Subsetting based on Value, Quiz: Subsetting Dataframes, Modifying data in Pandas, Quiz: Modifying Dataframes; Sorting and Aggregating Data in Pandas: Preprocessing, Sorting and Aggregating Data, Sorting the Dataframe, Quiz:  Sorting Dataframes, Concatenating Dataframes in Pandas, Concept of SQL-Like Joins in Pandas, Implementing SQL-Like Joins in Pandas, Quiz: Joins in Pandas, Aggregating and Summarizing Dataframes, Preprocessing Timeseries Data, Quiz: Preprocessing Timeseries Data; Visualizing Patterns and Trends in Data: Visualizing Trends & Pattern in Data, Basics of Matplotlib, Data Visualization with Matplotlib, Quiz: Matplotlib, Basics of Seaborn, Data Visualization with Seaborn, Quiz: Seaborn; Machine Learning Lifecycle: 6 Steps of Machine Learning Lifecycle, Introduction to Predictive Modeling; Problem statement and Hypothesis Generation: Defining the Problem statement, Introduction to Hypothesis Generation, Performing Hypothesis generation, Quiz - Performing Hypothesis generation, List of hypothesis, Data Collection/Extraction, Quiz - Data Collection/Extraction; Importance of Stats and EDA: Introduction to Exploratory Data Analysis & Data Insights, Quiz -  Introduction to Exploratory Data Analysis & Data Insights, Role of Statistics in EDA, Descriptive Statistics, Inferential Statistics, Quiz - Descriptive and Inferential Statistics; Build Your First Predictive Model: Quiz: Build a Benchmark Model - Regression, Benchmark Model: Regression Implementation, Quiz: Benchmark Model - Regression Implementation, Build a Benchmark Model: Classification, Quiz: Build a Benchmark Model - Classification, Benchmark Model: Classification Implementation, Quiz: Benchmark - Classification Implementation; Evaluation Metrics: Introduction to Evaluation Metrics, Quiz: Introduction to Evaluation Metrics, Confusion Matrix, Quiz: Confusion Matrix, Accuracy, Quiz: Accuracy, Alternatives of Accuracy, Quiz: Alternatives of Accuracy, Precision and Recall, Quiz: Precision and Recall, Thresholding, Quiz: Thresholding, AUC-ROC, Quiz: AUC-ROC, Log loss, Quiz: Log loss, Evaluation Metrics for Regression, Quiz: Evaluation Metrics for Regression, R2 and Adjusted R2, Quiz: R2 and Adjusted R2; Preprocessing Data: Dealing with Missing Values in the Data, Quiz: Dealing with missing values in the data, Replacing Missing Values, Quiz: Replacing Missing values, Imputing Missing Values in data, Quiz: Imputing Missing values in data, Working with Categorical Variables, Quiz: Working with categorical data, Working with Outliers, Quiz: Working with outliers, Preprocessing Data for Model Building; Build Your First ML Model: k-NN: Building a kNN model, Quiz: Building a kNN model, Determining right value of k, Quiz: Determining right value of k, How to calculate the distance, Quiz: How to calculate the distance, Issue with distance based algorithms, Quiz: Issue with distance based algorithms, Introduction to sklearn, Implementing k-Nearest Neighbours algorithm, Quiz: Implementing k-Nearest Neighbours algorithm; Selecting the Right Model: Introduction to Overfitting and Underfitting Models, Quiz: Introduction to Overfitting and Underfitting Models, Visualizing overfitting and underfitting using knn, Quiz: Visualizing overfitting and underfitting using knn, Selecting the Right Model, What is Validation?, Quiz: What is Validation, Understanding Hold-Out Validation, Quiz: Understanding Hold-Out Validation, Implementing Hold-Out Validation, Quiz: Implementing Hold-Out Validation, Understanding k-fold Cross Validation, Implementing k-fold Cross Validation, Quiz: Understanding k-fold Cross Validation, Quiz: Implementing k-fold Cross Validation, Bias Variance Tradeoff, Quiz: Bias Variance Tradeoff; Linear Models: Introduction to Linear Models, Quiz: Introduction to linear model, Understanding Cost function, Quiz: Understanding Cost function, Understanding Gradient descent (Intuition), Maths behind gradient descent, Convexity of cost function, Quiz: Convexity of Cost function, Quiz: Gradient Descent, Assumptions of Linear Regression, Quiz: Assumptions of linear model, Implementing Linear Regression, Generalized Linear Models, Quiz: Generalized Linear Models, Introduction to Logistic Regression, Quiz: Introduction to logistic regression, Quiz: Logistic Regression, Odds Ratio, Implementing Logistic Regression, Multiclass using Logistic Regression, Quiz: Multi-Class Logistic Regression, Challenges with Linear Regression, Quiz: Challenges with Linear regression, Introduction to Regularisation, Quiz: Introduction to Regularization, Implementing Regularisation, Coefficient estimate for ridge and lasso (Optional); Project: Customer Churn Prediction: Predicting whether a customer will churn or not; Decision Tree: Introduction to Decision Trees, Quiz: Introduction to Decision Trees, Purity in Decision Trees, Quiz: Purity in Decision Trees, Terminologies Related to Decision Trees, Quiz: Terminologies Related to Decision Trees, How to Select the Best Split Point in Decision Trees, Quiz: How to Select the Best Split Point in Decision Trees, Chi-Square, Quiz: Chi-Square, Information Gain, Quiz: Information Gain, Reduction in Variance, Quiz: Reduction in Variance, Optimizing Performance of Decision Trees, Quiz: Optimizing Performance of Decision Trees, Decision Tree Implementation; Feature Engineering: Introduction to Feature Engineering, Quiz: Introduction to feature engineering, Exercise on Feature Engineering, Overview of the module, Feature Transformation, Quiz: Feature Transformation, Feature Scaling, Quiz: Feature Scaling, Feature Encoding, Quiz: Feature Encoding, Combining Sparse classes, Quiz: Combining Sparse classes, Feature Generation: Binning, Quiz: Feature Generation- Binning, Feature Interaction, Quiz: Feature Interaction, Generating Features: Missing Values, Frequency Encoding, Quiz: Frequency Encoding, Feature Engineering: Date Time Features, Implementing DateTime Features, Quiz: Implementing DateTime Features, Automated Feature Engineering : Feature Tools, Implementing Feature tools, Quiz: Implementing Feature Tools; Project: NYC Taxi Trip Duration prediction: Exploring the NYC dataset, Predicting the NYC taxi trip duration, Predicting the NYC taxi trip duration",https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners
The Working of Neural Networks - Free Course,Kickstarting your career in the field of Deep Learning can be made easy with the right guide. This course will serve as a learning path to help beginners navigate through the complex terrain of Deep Learning.,"Understanding the working of Neural Networks: How are Neural Networks trained - Forward Propagation, Understanding Loss Functions + Hands on, Reading: Creating a Custom Loss Function (Optional), Optimization Techniques - Gradient Descent, What is Back Propagation?, Types of Gradient Descent, Common Optimization Techniques - Part 1, Common Optimization Techniques - Part 2, Building a Deep Neural Network (Hands-on Regression Model), Building a Deep Neural Network (Hands-on Classification Model), Quiz",https://courses.analyticsvidhya.com/courses/The%20Working%20of%20Neural%20Networks
Understanding Linear Regression - Free Course,Linear Regression is one of the foundational algorithms used in the industry to make predictions for regression problems. In this free course let us understand Linear Regression using a Business Case Study,"Linear Regression: Introduction to the Problem Statement, Resources for this Course, Introduction to Linear Regression, Significance of Slope and Intercept in the linear regression, How Model Decides The Best-Fit Line, Let’s Build a Simple Linear Regression Model, Model Understanding Using Descriptive Approach, Model Understanding Using Descriptive Approach - II, Model Building Using Predictive Approach, Quiz: Linear regression",https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression
Building a Text Classification Model with Natural Language Processing - Free Course,"Explore the essentials of NLP with our comprehensive course! Learn text classification, NLP models with PyTorch, and real-world applications. Perfect for beginners and professionals alike, dive into AI-driven text analysis and hands-on projects.","Introduction to NLP: What is NLP, Common tasks in a NLP Project, NLP Libraries, Resources for the Course, Methods of Text Preprocessing - Part 1, Methods of Text Preprocessing - Part 2, Methods of Text Preprocessing - Part 3, Quiz; Building a basic classification model: Introduction to dataset and problem statement, Creating a Basic Review Classification Model, Understanding TF-IDF and its implementations, Understanding N-grams, Advanced Preprocessing Techniques, Building an basic ANN model, Limitations of ANN, Quiz",https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing
The A to Z of Unsupervised ML - Free Course,Get ahead of the crowd with this free course on Unsupervised Machine Learning Models. We will be covering popular clustering algorithms and DBSCAN and show you its applications on a real-world business problem.,"Understanding Unsupervised Machine Learning: Resources to be used in this course., Setting the Context, Choosing Clustering Algorithms, Solving our Problem using k-means - Part 1, Solving our Problem using k-means - Part 2, Finding optimal K value, Analysis and Insights Based on the Plots, Introduction to Hierarchical Clustering Analysis (HCA), Solving our Problem using Hierarchical Clustering, Introduction to DBSCAN Clustering, Solving our Problem using DBSCAN, Reading: Applications of Clustering in the Real World, Project",https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide
Bagging and Boosting ML Algorithms - Free Course,This free course on Advanced ML Algorithms - Bagging and Boosting is perfect place to get a taste of how advanced ML algorithms look like and function on a real-world business problem.,"Bagging: Resources to be used in this course, Problem Statement, Understanding Ensemble Learning, Introducing Bagging Algorithms, Hands-on to Bagging Meta Estimator, Introduction to Random Forest, Understanding Out-Of-Bag Score, Random Forest VS Classical Bagging VS Decision Tree, Project; Boosting: Introduction to Boosting, AdaBoost Step-by-Step Explanation, Hands-on - AdaBoost, Gradient Boosting Machines (GBM), Hands-on Gradient Boost, Other Algo (XGBoost, LightBoost. CatBoost), Project: Anova Insurance",https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms
Data Preprocessing on a Real-World Problem Statement - Free Course,Kickstarting your career in Data Science can be easy with the right guide. This free course will serve as the perfect path to help beginners navigate the complex terrain of Data Preprocessing and prepare any data for modelling.,"Preparing the Dataset for Machine Learning Model: Resources to be used in this course, Introduction to Problem Statement, Reading Material - Understanding the Data, ML-workflow, Tasks to be Performed, Combining Product Attribute Data with POS Data, Combining all the tables in the Dataframe, Understanding the Combined Data, Treating Missing Values - Part 1, Treating Missing Values Part - 2, Outlier Detection and Treatment, Preparing the Dataset for Supervised and Unsupervised Models, Generative AI for Data Analysis",https://courses.analyticsvidhya.com/courses/data-preprocessing
Introduction to Business Analytics,Business analytics is thriving – and so is its role in forward-thinking organizations around the world. The demand for business analytics professionals is growing multifold - and now is the time to start working towards your desired career.,"What is Business Analytics?: What is Business Analytics?, Quiz: What is Business Analytics, You just joined an exicting startup!, Quiz - Map the Job families, Data Scientist vs. Data Engineer vs. Business Analyst, Quiz - Map the responsibilities, Sample problems and projects - Business Analytics vs. Data Science, Quiz: Sample problems and Projects - Business Analysts vs. Data Scientits, A few more things - Business Analytics vs. Data Science, Career in Business Analytics, Knowing Each other, AI&ML Blackbelt Plus Program (Sponsored); Spectrum of Business Analytics: Terms related to Business Analytics, Management Information Systems (MIS), Detective Analysis, Business Intelligence, Predictive Modeling, Artificial Intelligence and Machine Learning, What kind of problems do Business Analysts work on?; Skills Required for Business Analytics and Roadmap of Business Analytics Program: Skills Required in Business Analytics Roles, Download the Roadmap for Certified Business Analytics Program (CBAP), Bonus Section - Logistics of Certified Business Analytics Program from Analytics Vidhya; Case study: Ezine Publishing: Overview - Case study - Ezine Publishing, Understanding Business, Quiz: Identify Focus Categories, Quiz: Getting Granular with traffic data, Quiz - Identify effective channel, Quiz - Maximize Revenue, Quiz - Target Customers, Quiz: Traffic Distribution, Quiz - Advertisements, Where to go from here?",https://courses.analyticsvidhya.com/courses/introduction-to-analytics
Microsoft Excel: Formulas & Functions,"Microsoft Excel is still the tool of choice in the industry when it comes to performing data analysis, thanks to its incredible depth and array of formulas and functions. This course covers a wide range of Excel formulas, including LookUp Functions!","Introduction: Welcome to the Course!, Instructor Introduction, AI&ML Blackbelt Plus Program (Sponsored); Excel Formula and Referencing: Getting Started with Excel Formulas, Referencing, Exercise, Paste Special & Format Painter, Exercise; DateTime and Text Functions: DateTime Function, Exercise, Left,Right,Mid,Len,Concatenate, Find & Search, Exercise, Replace & Substitute, Text and Value; Mathematical Functions: Sum, Product, Mod, Sqrt, Fact, Round, RoundUp, Rounddown, SumIFS, Exercise; Financial Function: Present Value and Future Value, NPV and IRR, Financial Functions in Excel, Exercise; LookUp Function: Vlookup and Hlookup, Match, Index, Exercise; Logical and Error Function: AND, OR, NOT, ISERROR, ISNUMBER, ISBLANK, ISTEST, IF, IFERROR, Exercise; Statistical Function: Count, Counta, Countblank, Countifs, Mean, Median, Mode, Std, Rank, Quartiles, Corr, Exercise; What's Next?: CBAP: Certified Business Analytics Program",https://courses.analyticsvidhya.com/courses/microsoft-excel-formulas-functions
Tableau for Beginners,"Tableau is the tool of choice for business intelligence, analytics and data visualization experts. Learn how to use Tableau, the different features of Tableau, and start building impactful visualization using this Tableau tutorial!","Introduction: Welcome to the Course, AI&ML Blackbelt Plus Program (Sponsored); Concept of Visualization: What is Data Visualization and Why Should we Use it, Hans Rosling - 200 Countries 200 Years 4 Minutes; Understanding the Length and Breadth of Tableau: Navigating the Tableau Interface Part 1, Navigating the Tableau Interface Part 2; Getting Started with Tableau: Connect to the Data, Data Visualizations; Different Types of Charts in Tableau: Net Statistics, Net Statistics Part 2, Line Chart, Pie Chart, Map Chart, Scatter Plots; BONUS: Other Functionalities in Tableau: Filters, Trend Line; What's Next?: What's Next?",https://courses.analyticsvidhya.com/courses/tableau-for-beginners
Certified Business Analytics Program,"Business analytics is a thriving and in-demand field in the industry today. This comprehensive program consisting of multiple courses will teach you all you need to know about business analytics, from tools like Python to machine learning algorithms!",,https://courses.analyticsvidhya.com/bundles/certified-business-analytics-program
Loan Prediction Practice Problem (Using Python),This course is aimed for people getting started into Data Science and Machine Learning while working on a real life practical problem.,"Loan Prediction : Practice Problem: Introduction to the Course, Table of Contents, Problem Statement, Hypothesis Generation, Exercise 2  | Discussion, Getting the system ready and loading the data, Understanding the Data, Univariate Analysis, Bivariate Analysis, Missing Value and Outlier Treatment, Evaluation Metrics for Classification Problems, Model Building : Part I, Logistic Regression using stratified k-folds cross validation, Feature Engineering, Model Building : Part II, AI&ML Blackbelt Plus Program (Sponsored)",https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python
Twitter Sentiment Analysis,What is sentiment analysis? Why is sentiment analysis so popular in data science? And how can you perform sentiment analysis? Find the answers to all these questions in this free course on Sentiment Analysis using Python!,"Twitter Sentiment Analysis (Using Python): Overview of the Course, Understand the Problem Statement, Table of Contents, Loading Libraries and Data, Data Inspection, Data Cleaning, Story Generation and Visualization from Tweets, Bag-of-Words Features, TF-IDF Features, Word2Vec Features, Modeling, Logistic Regression, Support Vector Machine (SVM), RandomForest, XGBoost, FineTuning XGBoost + Word2Vec, Summary, AI&ML Blackbelt Plus Program (Sponsored)",https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis
Introduction to Web Scraping using Python,What is web scraping? Why is web scraping a must-know skill? How can you perform web scraping in Python? This course will cover all these aspects of web scraping and showcase how to perform web scraping using BeautifulSoup and Scrapy.,"Introduction to Web Scraping: What is Web Scraping?, Caution, Popular Libraries for Web Scraping, Components of Web Scraping, AI&ML Blackbelt Plus Program (Sponsored); Web Scraping: Procedure: Problem Setup, Step 1: Crawl, Step 2: Parse and Transform, Step 3: Store the Data; Scraping URLs and Email IDs from a Web Page: Single Webpage Scraping, Multiple Webpage Scraping(BeautifulSoup and Regex); Scrape Images in Python: Scrape Images in Python; Scrape Data on Page Load: Scarpe Data on Page Load",https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping
Big Mart Sales Prediction Using R,This course is aimed for people getting started into Data Science and Machine Learning while solving the Big Mart Sales Prediction problem.,"Big Mart Sales: Overview of the Course, Table of contents, Problem Statement, Hypothesis Generation, Loading Packages and Data, Understanding the Data, Univariate Analysis, Bivariate Analysis, Missing Value Treatment, Feature Engineering, Encoding Categorical Variables, PreProcessing Data, Model Building, Linear Regression, Regularized Linear Regression, Random Forest, XGBoost, Summary, AI&ML Blackbelt Plus Program (Sponsored)",https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r
Time Series Forecasting using Python,"Learn time series analysis and build your first time series forecasting model using ARIMA, Holt’s Winter and other time series forecasting methods in Python for a real-life industry use case","Introduction to Time Series: Introduction to the Course, Introduction to Time Series, Components of a Time Series, AI&ML Blackbelt Plus Program (Sponsored); Understanding Problem Statements and Data Sets: Problem Statement, Table of Contents, Hypothesis Generation, Getting the system ready and loading data, Dataset Structure and Content; Exploration and Preprocessing: Feature Extraction, Exploratory Analysis, Exercise 1; Modelling Techniques and Evaluation: Splitting the data into training and validation part, Modeling Techniques, Holt's Linear trend model on daily time series, Holt Winter's model on daily time series, Introduction to ARIMA model, Parameter tuning for ARIMA model, SARIMAX model on daily time series, Exercise 2, Important Links, Your Feedback",https://courses.analyticsvidhya.com/courses/creating-time-series-forecast-using-python
